Store ID,Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,Country Subdivision,Country,Postal Code,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone
89011,Poznań PKP,Starbucks,17259-162285,48713861842,JV,ul. Dworcowa,ul. Dworcowa,,,Poznan,WP,PL,61-801,"(52.4037208557129, 16.9122905731201)",52.403720855712891,16.912290573120117,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
89067,Olawska,Starbucks,16799-173486,48713861807,JV,ul. Olawska 1/1,ul. Olawska 1/1,,,Wroclaw,DS,PL,50-123,"(51.1088485717773, 17.0333404541016)",51.108848571777344,17.033340454101562,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
89386,Silesia City Center,Starbucks,17234-167205,48713861806,JV,ul. Chorzowska 107,ul. Chorzowska 107,,,Katowice,SL,PL,40-101,"(50.2723083496094, 18.9913005828857)",50.272308349609375,18.991300582885742,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
90100,Brama Portowa,Starbucks,17597-170904,48713861914,JV,ul. Wyszynskiego 1,ul. Wyszynskiego 1,,,Szczecin,ZP,PL,70-556,"(53.4252891540527, 14.5518579483032)",53.425289154052734,14.551857948303223,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
91816,Plaza ILM,Starbucks,9190-180604,48713861579,JV,"Druzbickiego 2, Plaza",Druzbickiego 2,,Plaza,Poznan,WP,PL,61-693,"(52.4414558410645, 16.919095993042)",52.441455841064453,16.919095993041992,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
92620,Katowice PKP,Starbucks,17270-154571,48713861902,JV,Plac Szewczyka 1,Plac Szewczyka 1,,,Katowice,SL,PL,40-098,"(50.2584686279297, 19.0167541503906)",50.258468627929688,19.016754150390625,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
94814,Grunwaldzka OBC,Starbucks,18443-176185,48713861804,JV,al. Grunwaldzka 472,al. Grunwaldzka 472,,,Gdansk,PM,PL,80-309,"(54.40283203125, 18.5722980499268)",54.40283203125,18.572298049926758,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
113304,Wilenska,Starbucks,18442-176826,48713861915,JV,"Targowa 72, Praga Pólnoc",Targowa 72,Praga Pólnoc,,Warsaw,MZ,PL,03-734,"(52.2603950500488, 21.0465641021729)",52.260395050048828,21.046564102172852,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
114046,Pasaz MM,Starbucks,18023-164585,48713861852,JV,"ul. Sw. Marcin 24, Galeria MM",ul. Sw. Marcin 24,Galeria MM,,Poznan,WP,PL,61-805,"(52.4063453674316, 16.9281692504883)",52.406345367431641,16.928169250488281,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
1005730,Galeria Mokotow,Starbucks,19487-188884,48713861937,JV,"ul. Woloska 12, Warszawa Mokotów",ul. Woloska 12,Warszawa Mokotów,,Warszawa,MZ,PL,02-697,"(52.179759979248, 21.0042476654053)",52.179759979248047,21.004247665405273,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
1005829,Galeria Katowicka,Starbucks,20230-154569,48713861956,JV,"ul. 3 maja 30, Ground Floor",ul. 3 maja 30,Ground Floor,,Katowice,SL,PL,40-097,"(50.2593803405762, 19.0176849365234)",50.259380340576172,19.017684936523438,W. Europe Standard Time,120,GMT+1:00 Europe/Warsaw
1006166,Riviera,Starbucks,2126-137171,48713861942,JV,ul. Kazimierza Gorskiego 2,ul. Kazimierza Gorskiego 2,,,Gdynia,PM,PL,81-304,"(54.502197265625, 18.5326023101807)",54.502197265625,18.532602310180664,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
1006940,Coffee Square,Starbucks,21864-215551,48713863129,JV,ul. Józefa Pitsudskiego 58/1b,ul. Józefa Pitsudskiego 58/1b,,,Wroclaw,DS,PL,50-050,"(51.1014862060547, 17.0296669006348)",51.101486206054688,17.029666900634766,Central Europe Standard Time,120,GMT+1:00 Europe/Warsaw
1008205,PKP Wroclaw,Starbucks,21153-207144,48713863129,JV,"Ul. Pilsudskiego 105, Budynek dworca",Ul. Pilsudskiego 105,Budynek dworca,,Wroclaw,DS,PL,50-085,"(51.0989837646484, 17.0366458892822)",51.098983764648438,17.036645889282227,Cape Verde Standard Time,-60,GMT+1:00 Europe/Warsaw
1008087,Rondo ONZ,Starbucks,19756-199384,48713861585,JV,"Sliska 10, Warsaw Srodmiescie",Sliska 10,Warsaw Srodmiescie,,Warszawa,MZ,PL,00-127,"(52.2321586608887, 20.9996967315674)",52.232158660888672,20.999696731567383,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
5503,Warszawa Galaxy,Starbucks,3977-138844,48713861553,JV,"Aleja solidarnosci, 82 Warszawa,",Aleja solidarnosci,"82 Warszawa,",,Warszawa,MZ,PL,00-144,"(52.2424659729004, 20.994312286377)",52.242465972900391,20.994312286376953,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
